LdrpGetModuleName
LdrQueryNextListEntry
LdrQueryModuleInfoFromLdrEntry
LdrpReadMemory
LdrpProtectedCopyMemory
RtlQueryProcessDebugInformation
RtlQueryProcessModuleInformation
LdrQueryInLoadOrderModuleList
LdrQueryProcessModuleInformationEx
RtlpCommitQueryDebugInfo
RtlDefaultNpAcl
RtlWow64SuspendThread
RtlpWow64SuspendThread
RtlWow64GetSharedInfoProcess
RtlpWow64OpenThreadProcess
LdrRegisterDllNotification
RtlIsCurrentThread
RtlSetSearchPathMode
EtwpGetUmProcessImageInfo
EtwpProviderArrivalCallback
EtwpTrackBinaryForSession
RtlStringCchCopyW
RtlCreateQueryDebugBuffer
RtlDestroyQueryDebugBuffer
RtlpChangeQueryDebugBufferTarget
RtlpMergeSecurityAttributeInformation
EtwpAddBinaryInfoEvents
EtwpAddEventToBuffer
LdrQueryInLoadOrderModuleList32
LdrpWaitForInitializationComplete
LdrQueryModuleInfoLocalLoaderUnlock
LdrpQueryInformationCurrentProcess
RtlGetCurrentPeb
LdrQueryModuleInfoLocalLoaderLock
RtlpCompareActivationContextGuidSectionEntryByGuid
RtlFindSetBits
RtlLoadString
RtlCreateAtomTable
RtlCreateAtomTableEx
RtlQueryAtomInAtomTable
RtlpFreeHandleForAtom
RtlpFreeAllAtom
RtlDeleteAtomFromAtomTable
RtlAddAtomToAtomTable
RtlAddAtomToAtomTableEx
RtlLookupAtomInAtomTable
RtlpHashStringToAtom
RtlpLockAtomTable
RtlGetIntegerAtom
RtlpAtomMapAtomToHandleEntry
RtlIsValidIndexHandle
RtlIsValidHandle
RtlpAllocateAtomTableEntry
RtlpInsertStringAtom
RtlAllocateHandle
RtlpDereferenceAtom
RtlFreeHandle
RtlpTraverseParents
RtlpIsQualifiedLanguage
RtlpFreeTraverseNodes
RtlpCreateTraverseNodes
LdrpInitializeTls
LdrpCalcAllocSize
LdrpDoPostSnapWork
LdrpHandleTlsData
LdrpAllocateTlsEntry
LdrpAcquireTlsIndex
RtlFindClearBitsAndSet
RtlSetBits
LdrpGetNewTlsVector
LdrpQueueDeferredTlsData
LdrResFindResourceDirectory
LdrResSearchResource
LdrpResSearchResourceMappedFile
LdrpResGetResourceDirectory
LdrpResSearchResourceInsideDirectory
LdrpResCompareResourceNames
RtlULongLongSub
LdrResFallbackLangList
RtlpResUltimateFallbackInfo
LdrpCompareServiceChecksum
LdrResGetRCConfig
LdrpVerifyAlternateResourceModuleEx
LdrpGetRcConfig
RtlClearBits
LdrpSectionTableFromVirtualAddress
CheckOneBitValidFlag
LdrIsResItemExist
RtlpFileIsWin32WithRCManifest
LdrpIsReparsePoint
RtlDosPathNameToRelativeNtPathName_U
LdrpGetDataModulePath
LdrpGetLoadAsEntry
LdrFindEntryForAddress
LdrpFindLoadedDllByAddress
RtlCheckRegistryKey
RtlpQueryRegistryValues
RtlpCallQueryRegistryRoutine
RtlpValidateKeyTrust
RtlpQueryRegistryDirect
